card_name,file_path,ajdovscina,bosna,hrastnik,hrvaska,lendava,ljubljana,medvode,slovenija,trbovlje,ukrajina,zagreb
group/basic-information,views/poslanska-skupina/pregled.ejs,T,T,T,T,T,T,T,T,T,T,T
group/deviation-from-group,views/poslanska-skupina/glasovanja.ejs,T,T,T,T,T,T,T,T,T,T,T
group/discord,views/poslanska-skupina/glasovanja.ejs,T,T,T,T,T,T,T,T,T,T,T
group/least-votes-in-common,views/poslanska-skupina/glasovanja.ejs,F,T,F,T,F,F,F,T,F,T,F
group/monthly-vote-attendance,views/poslanska-skupina/pregled.ejs,F,T,F,T,F,F,F,T,F,F,F
group/most-votes-in-common,views/poslanska-skupina/glasovanja.ejs,F,T,F,T,F,F,F,T,F,T,F
group/number-of-introduced-amendments,views/poslanska-skupina/pregled.ejs,F,F,F,F,F,F,F,F,F,F,F
group/number-of-questions,views/poslanska-skupina/pregled.ejs,T,T,T,T,T,T,T,T,F,F,T
group/questions,views/poslanska-skupina/pregled.ejs,T,T,T,T,T,T,T,T,F,F,T
group/speeches,views/poslanska-skupina/govori.ejs,T,T,T,T,T,T,T,T,T,T,T
group/style-scores,views/poslanska-skupina/govori.ejs,F,F,F,F,F,F,F,F,F,F,F
group/tfidf,views/poslanska-skupina/govori.ejs,T,T,T,T,T,T,T,T,T,T,T
group/vocabulary-size,views/poslanska-skupina/govori.ejs,F,F,F,T,F,F,F,T,F,F,F
group/vote-attendance,views/poslanska-skupina/pregled.ejs,T,T,T,T,T,T,T,T,T,T,T
group/votes,views/poslanska-skupina/glasovanja.ejs,T,T,T,T,T,T,T,T,T,T,T
legislation/single,views/zakonodaja/zakon.ejs,T,T,T,T,T,T,T,T,T,T,T
misc/basic-information,views/landing/index.ejs,T,A,T,A,T,T,T,T,T,T,T
misc/groups,views/landing/poslanske-skupine.ejs,T,T,T,T,T,T,T,T,T,T,T
misc/last-session,views/landing/index.ejs,T,T,T,T,T,T,T,T,T,F,T
misc/legislation,views/zakonodaja/index.ejs,T,T,T,T,T,T,T,T,T,T,T
misc/members,views/landing/poslanci2.ejs,A,T,A,A,A,A,A,A,A,A,A
misc/members,views/landing/poslanci.ejs,T,T,T,T,T,T,T,T,T,T,T
misc/newsletter-signup-banner,views/_partials/footer.ejs,A,T,A,A,A,A,A,A,A,A,A
misc/newsletter-signup,views/landing/index.ejs,A,T,A,T,A,A,A,A,A,A,A
misc/promoted-legislation,views/landing/index.ejs,F,F,F,F,F,F,F,F,F,F,F
misc/search,views/error/404.ejs,T,T,T,T,T,T,T,T,T,T,T
misc/search,views/error/500.ejs,T,T,T,T,T,T,T,T,T,T,T
misc/search,views/landing/index.ejs,T,T,T,T,T,T,T,T,T,T,T
misc/search,views/_partials/search.ejs,T,T,T,T,T,T,T,T,T,T,T
misc/search,views/seje/isci/index.ejs,T,T,T,T,T,T,T,T,T,T,T
misc/sessions,views/seje/index.ejs,T,T,T,T,T,T,T,T,T,T,T
person/average-number-of-speeches-per-session,views/poslanec/govori.ejs,T,F,T,T,T,T,T,T,T,T,T
person/basic-information,views/poslanec/pregled.ejs,T,T,T,T,T,T,T,T,T,A,T
person/basic-information,views/poslanec/zupan.ejs,T,T,T,T,T,T,T,T,T,T,T
person/deviation-from-group,views/poslanec/glasovanja.ejs,T,T,T,T,T,T,T,T,T,T,T
person/least-votes-in-common,views/poslanec/glasovanja.ejs,F,T,F,T,F,F,F,T,F,T,F
person/media-reports,views/poslanec/pregled.ejs,A,A,A,A,A,A,A,A,A,F,A
person/memberships,views/poslanec/pregled.ejs,T,F,T,T,T,T,T,T,T,F,T
person/monthly-vote-attendance,views/poslanec/pregled.ejs,F,T,F,T,F,F,F,T,F,A,F
person/most-votes-in-common,views/poslanec/glasovanja.ejs,F,T,F,T,F,F,F,T,F,T,F
person/number-of-questions,views/poslanec/pregled.ejs,T,T,T,T,T,T,T,T,F,F,T
person/number-of-spoken-words,views/poslanec/govori.ejs,T,F,T,T,T,T,T,T,T,T,T
person/public-answers,views/poslanec/pregled.ejs,A,T,A,T,A,A,A,A,A,A,A
person/public-questions,views/poslanec/pregled.ejs,A,F,A,T,A,A,A,A,A,A,A
person/questions,views/poslanec/pregled.ejs,T,T,T,T,T,T,T,T,F,F,T
person/recent-activity,views/poslanec/pregled.ejs,T,T,T,T,T,T,T,T,T,A,T
person/recent-activity,views/poslanec/zupan.ejs,F,T,F,T,F,T,F,T,T,T,T
person/speeches,views/poslanec/govori.ejs,T,T,T,T,T,T,T,T,T,T,T
person/speeches,views/poslanec/zupan.ejs,F,T,F,T,F,T,F,T,T,T,T
person/style-scores,views/poslanec/govori.ejs,F,F,F,F,F,F,F,F,F,F,F
person/tfidf,views/poslanec/govori.ejs,T,T,T,T,T,T,T,T,T,T,T
person/tfidf,views/poslanec/zupan.ejs,F,T,F,T,F,T,F,T,T,T,T
person/vocabulary-size,views/poslanec/govori.ejs,F,F,F,T,F,F,F,T,F,F,F
person/vote-attendance,views/poslanec/pregled.ejs,T,T,T,T,T,T,T,T,T,T,T
person/votes,views/poslanec/glasovanja.ejs,T,T,T,T,T,T,T,T,T,T,T
search/legislation,views/seje/isci/index.ejs,T,T,T,T,T,T,F,T,T,F,T
search/minutes,views/seje/isci/index.ejs,T,A,T,A,T,A,T,A,A,A,A
search/most-used-by-people,views/seje/isci/index.ejs,F,T,F,T,F,T,F,T,T,T,T
search/speeches,views/seje/isci/index.ejs,F,T,F,T,F,T,F,T,T,T,T
search/usage-by-group,views/seje/isci/index.ejs,F,T,F,T,F,T,F,T,T,T,T
search/usage-through-time-in-agenda-items,views/seje/isci/index.ejs,T,A,T,A,T,A,T,A,A,A,A
search/usage-through-time-in-speeches,views/seje/isci/index.ejs,A,T,A,T,A,T,A,T,T,T,T
search/votes,views/seje/isci/index.ejs,T,T,T,T,T,T,T,T,T,T,T
session/agenda-items,views/seja/dnevni-red.ejs,T,T,T,T,T,T,T,T,T,T,T
session/legislation,views/seja/zakonodaja.ejs,T,T,T,T,T,T,T,T,T,T,T
session/minutes,views/seja/zapisnik.ejs,T,T,T,T,T,T,T,T,T,T,T
session/speeches,views/seja/transkript.ejs,T,T,T,T,T,T,T,T,T,T,T
session/tfidf,views/seja/transkript.ejs,T,F,T,T,T,T,T,T,T,T,T
session/votes,views/seja/glasovanja.ejs,T,T,T,T,T,T,T,T,T,T,T
tool/comparator,views/orodja/primerjalnik-glasovanj.ejs,T,T,T,T,T,T,T,T,T,T,T
tool/compass,views/orodja/parlamentarni-kompas.ejs,T,T,T,T,T,T,T,T,T,T,T
tools/notifications,views/orodja/obvestila.ejs,T,T,T,T,T,T,T,T,T,T,T
tools/unity,views/orodja/enotnost.ejs,T,T,T,T,T,T,T,T,T,T,T
tool/word-groups,views/orodja/skupine-besed.ejs,T,T,T,T,T,T,T,T,T,T,T
vote/single,views/seja/glasovanje.ejs,T,T,T,T,T,T,T,T,T,T,T
